"State","Region","Listed Water ID","Listed Water Name","Cycle","Water Type Group","Map 303(d)","Report 303(d)","TMDL Report","Miles 303(d)","Current TMDL ID","TMDL Development Status","Acres 303(d)","IR Flag"
"TX","6","TX-1007S_01","Poor Farm Ditch (unclassified water body)","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-1007S_01'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-1007S_01','2012'); newWindow.focus()"">303(d) Report</a>","<a href=""JavaScript:newWindow=TMDLList('TX-1007S_01'); newWindow.focus()"">TMDL Reports</a>","-","52900","TMDL completed","-","Y"
"TX","6","TX-1103D_01","Gum Bayou (unclassified water body)","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-1103D_01'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-1103D_01','2012'); newWindow.focus()"">303(d) Report</a>","<a href=""JavaScript:newWindow=TMDLList('TX-1103D_01'); newWindow.focus()"">TMDL Reports</a>","-","66441","TMDL completed","-","Y"
"TX","6","TX-1113B_01","Horsepen Bayou Tidal (unclassified water body)","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-1113B_01'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-1113B_01','2012'); newWindow.focus()"">303(d) Report</a>","<a href=""JavaScript:newWindow=TMDLList('TX-1113B_01'); newWindow.focus()"">TMDL Reports</a>","-","65200","TMDL completed","-","Y"
"TX","6","TX-1209H_02","Duck Creek (unclassified water body)","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-1209H_02'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-1209H_02','2012'); newWindow.focus()"">303(d) Report</a>","<a href=""JavaScript:newWindow=TMDLList('TX-1209H_02'); newWindow.focus()"">TMDL Reports</a>","-","42529","TMDL completed","-","Y"
"TX","6","TX-1911E_01","Sixmile Creek (unclassified water body)","2012","STREAM/CREEK/RIVER","No Mapping Data","<a href=""JavaScript:newWindow=report303d('TX-1911E_01','2012'); newWindow.focus()"">303(d) Report</a>","<a href=""JavaScript:newWindow=TMDLList('TX-1911E_01'); newWindow.focus()"">TMDL Reports</a>","-","66393","TMDL completed","-","Y"
"TX","6","TX-1214_02","San Gabriel River","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-1214_02'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-1214_02','2012'); newWindow.focus()"">303(d) Report</a>","&nbsp;","-","-","TMDL needed","-","Y"
"TX","6","TX-1245F_01","Alcorn Bayou (unclassified water body)","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-1245F_01'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-1245F_01','2012'); newWindow.focus()"">303(d) Report</a>","&nbsp;","-","-","TMDL needed","-","Y"
"TX","6","TX-0607B_01","Little Pine Island Bayou (unclassified water body)","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-0607B_01'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-0607B_01','2012'); newWindow.focus()"">303(d) Report</a>","&nbsp;","-","-","TMDL needed","-","Y"
"TX","6","TX-0501B_01","Little Cypress Bayou (unclassified water body)","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-0501B_01'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-0501B_01','2012'); newWindow.focus()"">303(d) Report</a>","&nbsp;","-","-","TMDL needed","-","Y"
"TX","6","TX-2307_04","Rio Grande Below Riverside Diversion Dam","2012","STREAM/CREEK/RIVER","<a href=""JavaScript:newWindow=map303d('TX-2307_04'); newWindow.focus()"">Map Impaired Water</a>","<a href=""JavaScript:newWindow=report303d('TX-2307_04','2012'); newWindow.focus()"">303(d) Report</a>","&nbsp;","-","-","TMDL needed","-","Y"
